,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,71.00,53.00,-50.66,0.00,-26.15,-96.80,-5.580,0.801,2000,-119.66,-84.62,-70.51,-63.57,-60.15,-55.34,-48.08,-42.63,-36.11,-29.22,-27.19,-23.82,-20.19,-20.73,-15.49,-14.96,-13.03,-10.36,-7.08,-7.88,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,62.6,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,54.00,-203.34,0.00,-5.57,-93.31,-22.329,0.794,2000,-19.49,-15.51,-14.18,-12.68,-11.69,-9.99,-9.37,-8.96,-7.69,-7.02,-6.63,-6.59,-4.82,-4.38,-3.49,-3.44,-2.67,-3.16,-1.83,-1.79,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,63.2,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,55.00,-296.08,0.00,-4.21,-94.23,-32.583,0.791,2000,-16.08,-13.14,-11.47,-9.92,-8.65,-8.20,-7.04,-6.50,-5.80,-4.88,-4.27,-4.53,-3.42,-2.61,-2.75,-2.68,-2.00,-1.77,-1.88,-1.71,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,63.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,56.00,-351.18,0.00,-4.72,-87.73,-38.992,0.791,2000,-17.61,-15.11,-12.80,-11.08,-9.62,-8.94,-8.52,-7.41,-6.35,-5.64,-5.24,-4.47,-3.98,-3.63,-3.51,-2.73,-2.55,-1.93,-1.50,-1.58,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,63.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,57.00,1400.90,0.00,-0.87,-82.84,48.092,0.242,2000,0.52,-0.62,-0.64,-1.30,-1.00,-1.08,-0.60,-1.32,-1.23,-1.04,-0.67,-0.95,-0.75,-1.08,-0.63,-0.89,-0.72,-0.99,-0.80,-1.00,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,15,61.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,58.00,1050.57,0.00,-0.08,-97.17,47.787,0.316,2000,4.87,2.54,1.88,1.01,0.26,0.09,0.21,0.17,0.10,-0.27,0.00,-0.14,-0.29,-0.27,-0.46,-0.60,-0.63,-0.65,-0.53,-0.36,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,20,61.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,59.00,674.91,0.00,1.17,-87.69,48.187,0.486,2000,9.82,6.25,5.11,4.22,3.32,3.01,2.41,2.03,1.74,1.53,0.98,0.53,0.68,0.58,0.49,0.08,0.08,0.11,0.05,-0.27,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,31,62.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,60.00,378.65,0.00,2.87,-68.99,45.144,0.789,2000,15.30,10.88,8.99,7.73,7.01,5.97,6.03,5.20,3.90,3.49,2.74,2.39,1.97,2.27,1.65,1.14,1.14,0.74,0.46,0.72,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,63.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,61.00,150.39,0.00,7.01,-73.25,18.647,0.785,2000,36.32,26.18,21.42,17.62,14.71,14.93,13.08,11.05,8.82,8.86,7.85,5.61,5.51,4.59,4.20,2.96,2.85,2.94,1.90,1.79,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,63.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,62.00,-1.15,0.00,-299.99,-56.27,-0.153,0.779,2000,-4125.00,-3261.72,-2656.25,-2339.84,-2144.53,-1843.75,-1769.53,-1550.78,-1253.91,-1134.77,-1080.08,-908.20,-669.92,-660.16,-631.84,-528.32,-460.94,-375.00,-317.38,-297.85,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,64.4,MALMIP0113,0.0,0.00,0.0
