,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,13.00,12.00,1411996.38,0.00,0.87,-15.15,-43.647,2.417,2000,2.55,1.35,0.86,0.71,0.86,1.02,1.05,1.11,1.33,1.04,1.28,1.38,0.89,0.54,0.68,0.97,0.65,0.76,0.52,0.32,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,12.00,11.00,1499261.75,0.00,0.13,3.37,-43.934,2.417,2000,0.26,-0.66,-0.73,-0.28,-0.45,-0.42,0.03,-0.01,-0.05,-0.17,-0.04,-0.08,0.20,0.46,0.08,0.35,0.40,0.27,0.45,0.34,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,11.00,10.00,1322343.13,0.00,1.44,-33.32,-36.771,2.417,2000,3.92,2.53,1.74,1.64,1.83,2.48,1.93,1.85,1.65,1.44,1.21,1.02,0.94,1.20,1.14,1.49,1.10,1.47,1.25,1.05,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,10.00,2.00,-59721.64,0.00,6.50,136.52,10.693,2.417,2000,14.77,10.65,8.98,9.31,9.92,8.08,7.75,9.81,7.61,6.80,6.27,7.11,5.71,5.71,5.98,4.98,4.54,5.52,5.38,4.84,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,15.00,71.00,-1001.78,0.00,-1.61,-34.99,330.290,2.479,2000,-0.70,-2.03,-1.99,-1.94,-1.93,-1.90,-1.84,-1.75,-1.69,-1.66,-1.63,-1.63,-1.68,-1.64,-1.59,-1.53,-1.58,-1.53,-1.52,-1.51,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,3.9,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,16.00,-948.81,0.00,-1.49,4.03,-312.861,2.479,2000,-0.43,-1.83,-1.81,-1.74,-1.71,-1.69,-1.59,-1.59,-1.55,-1.50,-1.53,-1.50,-1.54,-1.52,-1.48,-1.42,-1.48,-1.47,-1.43,-1.42,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,3.9,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,16.00,8.00,57756.26,0.00,-0.28,237.18,-14.403,2.479,2000,1.90,-0.12,-0.29,1.53,0.75,0.41,0.66,0.52,0.37,-0.14,0.00,-0.62,0.29,-0.41,-0.56,-0.88,-0.52,-0.46,-0.90,-1.09,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,3.9,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,17.00,71.00,-1651.88,0.00,-0.40,-42.76,94.457,0.430,2000,1.61,0.12,-0.05,-0.05,-0.34,-0.41,-0.45,-0.50,-0.49,-0.59,-0.60,-0.47,-0.50,-0.42,-0.40,-0.52,-0.46,-0.42,-0.53,-0.50,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,18.00,-1588.28,0.00,-0.58,20.66,-90.832,0.430,2000,0.53,-0.74,-0.74,-0.72,-0.98,-0.76,-0.76,-0.64,-0.75,-0.68,-0.62,-0.63,-0.57,-0.55,-0.56,-0.69,-0.49,-0.49,-0.58,-0.49,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,18.00,17.00,519865.31,0.00,1.66,20.14,-21.690,2.460,2000,3.24,2.34,2.28,2.20,1.79,1.62,1.07,1.70,1.68,1.37,1.20,1.79,1.99,1.35,1.53,1.45,1.33,1.73,2.12,1.39,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
