2410
343	1 6	1 8	1 15	1 17
344	1 6	1 8	1 17	1 19
345	1 6	1 8	1 19	1 21
346	1 6	1 8	1 21	1 23
347	1 6	1 8	1 23	1 25
348	1 6	1 8	1 25	1 27
349	1 6	1 8	1 10	1 12
350	1 6	1 8	1 12	1 14
351	1 6	1 8	1 14	1 16
352	1 6	1 8	1 16	1 18
353	1 6	1 8	1 18	1 20
354	1 6	1 8	1 20	1 22
355	1 6	1 8	1 22	1 24
356	1 6	1 8	1 24	1 26
357	1 6	1 8	1 26	1 28
358	1 6	1 8	1 28	1 30
359	1 6	1 8	1 27	1 29
360	1 6	1 8	1 29	1 31
361	1 6	1 8	1 31	1 33
362	1 6	1 8	1 33	1 35
363	1 6	1 8	1 35	1 37
364	1 6	1 8	1 37	1 39
365	1 6	1 8	1 39	1 41
366	1 6	1 8	1 41	1 43
367	1 6	1 8	1 43	1 45
368	1 6	1 8	1 45	1 47
369	1 6	1 8	1 30	1 32
370	1 6	1 8	1 32	1 34
371	1 6	1 8	1 34	1 36
372	1 6	1 8	1 36	1 38
373	1 6	1 8	1 38	1 40
374	1 6	1 8	1 40	1 42
375	1 6	1 8	1 42	1 44
376	1 6	1 8	1 44	1 46
377	1 6	1 8	1 46	1 48
378	1 6	1 8	1 48	1 50
379	1 6	1 8	1 47	1 49
380	1 6	1 8	1 49	1 51
381	1 6	1 8	1 51	1 53
382	1 6	1 8	1 53	1 55
383	1 6	1 8	1 55	1 57
384	1 6	1 8	1 57	1 59
385	1 6	1 8	1 59	1 61
386	1 6	1 8	1 61	1 63
387	1 6	1 8	1 63	1 65
388	1 6	1 8	1 65	1 67
389	1 6	1 8	1 50	1 52
390	1 6	1 8	1 52	1 54
391	1 6	1 8	1 54	1 56
392	1 6	1 8	1 56	1 58
393	1 6	1 8	1 58	1 60
394	1 6	1 8	1 60	1 62
395	1 6	1 8	1 62	1 64
396	1 6	1 8	1 64	1 66
397	1 6	1 8	1 66	1 68
398	1 6	1 8	1 68	1 70
399	1 6	1 8	1 67	1 69
400	1 6	1 8	1 69	1 71
401	1 6	1 8	1 71	1 1
402	1 6	1 8	1 70	1 72
403	1 6	1 8	1 72	1 2
404	1 7	1 9	1 8	1 10
405	1 7	1 9	1 10	1 12
406	1 7	1 9	1 12	1 14
407	1 7	1 9	1 14	1 16
408	1 7	1 9	1 16	1 18
409	1 7	1 9	1 18	1 20
410	1 7	1 9	1 20	1 22
411	1 7	1 9	1 22	1 24
412	1 7	1 9	1 24	1 26
413	1 7	1 9	1 26	1 28
414	1 7	1 9	1 11	1 13
415	1 7	1 9	1 13	1 15
416	1 7	1 9	1 15	1 17
417	1 7	1 9	1 17	1 19
418	1 7	1 9	1 19	1 21
419	1 7	1 9	1 21	1 23
420	1 7	1 9	1 23	1 25
421	1 7	1 9	1 25	1 27
422	1 7	1 9	1 27	1 29
423	1 7	1 9	1 29	1 31
424	1 7	1 9	1 28	1 30
425	1 7	1 9	1 30	1 32
426	1 7	1 9	1 32	1 34
427	1 7	1 9	1 34	1 36
428	1 7	1 9	1 36	1 38
429	1 7	1 9	1 38	1 40
430	1 7	1 9	1 40	1 42
431	1 7	1 9	1 42	1 44
432	1 7	1 9	1 44	1 46
433	1 7	1 9	1 46	1 48
434	1 7	1 9	1 31	1 33
435	1 7	1 9	1 33	1 35
436	1 7	1 9	1 35	1 37
437	1 7	1 9	1 37	1 39
438	1 7	1 9	1 39	1 41
439	1 7	1 9	1 41	1 43
440	1 7	1 9	1 43	1 45
441	1 7	1 9	1 45	1 47
442	1 7	1 9	1 47	1 49
443	1 7	1 9	1 49	1 51
444	1 7	1 9	1 48	1 50
445	1 7	1 9	1 50	1 52
446	1 7	1 9	1 52	1 54
447	1 7	1 9	1 54	1 56
448	1 7	1 9	1 56	1 58
449	1 7	1 9	1 58	1 60
450	1 7	1 9	1 60	1 62
451	1 7	1 9	1 62	1 64
452	1 7	1 9	1 64	1 66
453	1 7	1 9	1 66	1 68
454	1 7	1 9	1 51	1 53
455	1 7	1 9	1 53	1 55
456	1 7	1 9	1 55	1 57
